I0,I1
-10039.20,0.00
-11974.90,0.00
-10794.70,0.00
-6780.70,0.00
-967.50,0.00
5117.80,0.00
9854.50,0.00
11958.90,0.00
10840.20,0.00
6774.50,0.00
847.70,0.00
-5328.60,0.00
-10048.90,0.00
-11988.20,0.00
-10580.70,0.00
-6193.30,0.00
-41.70,0.00
6138.40,0.00
10577.70,0.00
11983.90,0.00
9923.00,0.00
4965.90,0.00
-1459.10,0.00
-7471.90,0.00
-11285.70,0.00
-11744.40,0.00
-8682.00,0.00
-2991.90,0.00
3621.40,0.00
9147.00,0.00
11879.00,0.00
10950.10,0.00
6617.20,0.00
205.30,0.00
-6288.30,0.00
-10811.10,0.00
-11909.10,0.00
-9201.20,0.00
-3526.30,0.00
3304.10,0.00
9077.90,0.00
11895.40,0.00
10803.60,0.00
6131.40,0.00
-595.90,0.00
-7141.40,0.00
-11297.40,0.00
-11634.90,0.00
-8006.50,0.00
-1622.70,0.00
5337.70,0.00
10464.10,0.00
11952.80,0.00
9249.90,0.00
3274.10,0.00
-3880.10,0.00
-9666.70,0.00
-11996.30,0.00
-9997.00,0.00
-4359.10,0.00
2886.50,0.00
9090.30,0.00
11948.30,0.00
10369.20,0.00
4907.00,0.00
-2416.40,0.00
-8844.20,0.00
75.40,0.00
453.10,0.00
831.50,0.00
1210.10,0.00
1588.70,0.00
1966.80,0.00
2344.00,0.00
2720.00,0.00
3094.30,0.00
3466.40,0.00
3836.10,0.00
4202.90,0.00
4566.30,0.00
4926.00,0.00
5281.40,0.00
5632.30,0.00
5978.10,0.00
6318.40,0.00
6652.80,0.00
6980.90,0.00
7302.30,0.00
7616.40,0.00
7923.00,0.00
8221.50,0.00
8511.60,0.00
8792.80,0.00
9064.80,0.00
9327.10,0.00
9579.30,0.00
9821.10,0.00
10052.00,0.00
10271.80,0.00
10479.90,0.00
10676.10,0.00
10860.10,0.00
11031.40,0.00
11189.70,0.00
11334.80,0.00
11466.40,0.00
11584.00,0.00
11687.60,0.00
11776.80,0.00
11851.30,0.00
11911.00,0.00
11955.60,0.00
11984.90,0.00
11998.80,0.00
11997.10,0.00
11979.70,0.00
11946.40,0.00
11897.10,0.00
11831.80,0.00
11750.50,0.00
11653.00,0.00
11539.30,0.00
11409.60,0.00
11263.80,0.00
11101.90,0.00
10924.10,0.00
10730.50,0.00
10521.10,0.00
10296.30,0.00
10056.00,0.00
9800.60,0.00
9530.40,0.00
9245.40,0.00
8946.10,0.00
8632.80,0.00
8305.70,0.00
7965.30,0.00
7612.00,0.00
7246.20,0.00
6868.30,0.00
6478.80,0.00
6078.20,0.00
5667.00,0.00
5245.90,0.00
4815.20,0.00
4375.70,0.00
3928.00,0.00
3472.70,0.00
3010.50,0.00
2542.10,0.00
2068.20,0.00
1589.40,-0.20
1106.70,-0.60
620.60,-1.00
132.10,-1.50
-358.10,-1.90
-849.20,-2.40
-1340.30,-2.90
-1830.60,-3.30
-2319.30,-3.60
-2805.40,-3.60
-3288.20,-3.40
-3766.70,-3.20
-4240.00,-2.90
-4707.30,-2.40
-5167.70,-1.70
-5620.30,-1.00
-6064.10,-0.30
-6498.40,0.60
-6922.20,1.70
-7334.60,2.90
-7734.80,4.20
-8122.00,5.60
-8495.20,7.20
-8853.70,8.80
-9196.60,10.60
-9523.20,12.40
-9832.60,14.30
-10124.20,16.30
-10397.20,18.30
-10650.80,20.40
-10884.50,22.60
-11097.60,24.80
-11289.40,27.00
-11459.40,29.20
-11607.10,31.50
-11731.90,33.80
-11833.50,36.10
-11911.20,38.40
-11964.90,40.80
-11994.20,43.10
-11998.80,45.40
-11978.40,47.60
-11932.80,49.30
-11862.10,50.00
-11766.00,50.50
-11644.50,51.20
-11497.70,52.50
-11325.70,54.20
-11128.60,56.00
-10906.70,57.70
-10660.10,59.40
-10389.30,61.00
-10094.50,62.90
-9776.30,65.10
-9435.20,67.20
-9071.70,69.30
-8686.50,71.30
-8280.20,73.50
-7853.70,75.70
-7407.70,78.10
-6943.10,78.10
-6460.80,80.40
-5961.80,82.60
-5447.20,84.80
-4918.00,86.80
-4375.40,88.70
-3820.70,90.50
-3255.00,92.20
-2679.60,93.80
-2095.90,95.30
-1505.30,96.70
-909.20,97.90
-309.00,99.00
293.80,100.00
897.70,100.70
1501.00,101.20
2102.30,101.50
