I0,I1
5850.00,-0.70
5998.90,-0.70
5794.70,-0.70
5246.10,-0.70
4382.90,-0.70
3254.20,-0.70
1925.60,-0.70
476.20,-0.70
-1006.60,-0.70
-2431.80,-0.70
-3710.90,-0.70
-4762.90,-0.70
-5520.00,-0.70
-5931.70,-0.70
-5969.10,-0.70
-5626.30,-0.70
-4921.90,-0.70
-3898.20,-0.70
-2618.60,-0.70
-1164.40,-0.70
370.40,-0.70
1885.40,-0.70
3279.50,-0.70
4458.60,-0.70
5341.40,-0.70
5865.70,-0.70
5992.60,-0.70
5709.70,-0.70
5033.00,-0.70
4005.80,-0.70
2696.60,-0.70
1194.50,-0.70
-396.20,-0.70
-1963.40,-0.70
-3395.20,-0.70
-4587.50,-0.70
-5452.00,-0.70
-5923.20,-0.70
-5963.00,-0.70
-5564.60,-0.70
-4753.70,-0.70
-3586.80,-0.70
-2148.10,-0.70
-543.60,-0.70
1106.80,-0.70
2677.70,-0.70
4048.10,-0.70
5110.40,-0.70
5779.50,-0.70
5999.80,-0.70
5749.90,-0.70
5045.40,-0.70
3938.20,-0.60
2513.20,-0.50
882.00,-0.10
-825.20,0.60
-2470.30,1.30
-3918.10,1.90
-5047.70,2.40
-5762.70,2.50
-5999.80,2.40
-5735.00,2.20
-4986.10,1.90
-3812.30,1.40
-2309.90,0.70
-605.00,-0.10
1157.20,-1.30
2824.00,-2.70
4249.00,-4.00
5304.80,-4.90
5894.80,-5.10
5962.40,-5.00
5496.90,-4.60
4535.50,-4.00
3160.80,-3.40
1494.20,-2.70
-314.00,-1.80
-2098.60,-1.10
-3693.80,-0.50
-4949.30,0.00
-5744.10,0.40
-5999.30,0.50
-5685.70,0.40
-4828.30,0.10
-3504.70,-0.40
-1838.50,-1.00
11.10,-1.80
1865.10,-2.90
3541.00,-4.00
4871.40,-5.20
5720.70,-5.80
5999.60,-5.80
5675.00,-5.40
4774.40,-4.80
3384.40,-4.10
1643.50,-3.50
-272.10,-2.80
-2164.90,-2.10
-3837.30,-1.50
-5111.50,-1.10
-5849.50,-0.90
-5968.00,-0.80
-5448.90,-1.00
-4342.40,-1.40
-2763.00,-1.90
-878.30,-2.60
1108.00,-3.50
2977.90,-4.60
4523.50,-5.80
5569.40,-6.70
5994.10,-6.70
5744.00,-6.40
4841.70,-5.80
3384.40,-5.00
1534.30,-4.30
-498.30,-3.50
-2478.80,-2.70
-4175.50,-2.00
-5386.20,-1.70
-5963.40,-1.50
-5833.10,-1.50
-5004.40,-1.50
-3570.90,-1.60
-1701.10,-2.10
381.40,-2.70
2423.20,-3.40
4172.20,-4.30
5408.80,-5.40
5974.40,-6.40
5792.10,-6.60
4878.20,-6.30
3342.40,-5.80
1375.30,-5.10
-774.30,-4.40
-2829.90,-3.70
-4523.30,-2.90
-5630.20,-2.40
-5999.60,-2.20
-5576.00,-2.20
-4408.80,-2.40
-2648.10,-2.60
-525.40,-3.10
1674.60,-3.80
3652.50,-4.70
5135.10,-5.70
5913.80,-6.80
5874.00,-7.10
5014.20,-6.80
3448.00,-6.40
1390.20,-6.10
-871.10,-5.60
-3014.30,-5.10
-4730.00,-4.40
-5766.70,-3.90
-5967.40,-3.80
-5295.20,-3.90
-3841.70,-4.10
-1815.00,-4.60
487.90,-5.30
2724.20,-6.10
4556.10,-6.80
5702.40,-7.30
5982.20,-7.60
5344.70,-7.60
3880.40,-7.20
1809.60,-6.50
-549.80,-5.80
-2829.60,-5.10
-4668.70,-4.50
-5770.60,-4.10
-5952.80,-3.70
-5177.90,-3.60
-3562.80,-3.90
-1363.30,-4.40
1065.80,-5.00
3326.20,-5.70
5041.90,-6.40
5921.90,-6.90
5811.60,-7.10
4720.80,-7.10
2825.90,-6.90
443.60,-6.20
-2021.80,-5.40
-4145.00,-4.60
-5554.10,-4.00
-5996.60,-3.70
-5386.40,-3.60
-3821.90,-3.60
